Gmt time,Ask,Bid,AskVolume,BidVolume
13.08.2021 19:33:17.388,109.596,109.59299999999999,1,2.89
13.08.2021 19:33:17.592,109.595,109.59200000000001,1,2.47
13.08.2021 19:33:21.692,109.595,109.59100000000001,1.69,3.6
13.08.2021 19:33:21.742,109.59299999999999,109.59,1,1.2
13.08.2021 19:33:31.352,109.594,109.59,2.25,2.47
13.08.2021 19:33:33.237,109.594,109.59100000000001,1.5,2.1
13.08.2021 19:33:57.598,109.59200000000001,109.59,2.06,1
13.08.2021 19:33:57.699,109.59,109.588,1,1.95
13.08.2021 19:33:57.801,109.59,109.587,1,3.07
13.08.2021 19:33:57.902,109.59,109.58500000000001,1.5,3.2
13.08.2021 19:33:58.004,109.589,109.58600000000001,1.5,2.7
13.08.2021 19:34:06.033,109.588,109.58600000000001,1,1
13.08.2021 19:34:06.236,109.588,109.58500000000001,2.25,1
13.08.2021 19:34:06.439,109.587,109.58500000000001,1,1
13.08.2021 19:34:09.829,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:10.355,109.587,109.58500000000001,1,1
13.08.2021 19:34:10.552,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:10.713,109.587,109.58500000000001,1,1
13.08.2021 19:34:11.209,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:11.443,109.587,109.58500000000001,1,1
13.08.2021 19:34:11.769,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:13.069,109.587,109.58500000000001,1,1
13.08.2021 19:34:13.411,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:13.515,109.587,109.58500000000001,1,1
13.08.2021 19:34:14.210,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:16.159,109.587,109.58500000000001,1,1
13.08.2021 19:34:16.621,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:17.649,109.587,109.58500000000001,1,1
13.08.2021 19:34:17.956,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:18.495,109.587,109.58500000000001,1,1
13.08.2021 19:34:18.975,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:19.890,109.587,109.58500000000001,1,1
13.08.2021 19:34:20.123,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:20.609,109.588,109.584,1,1
13.08.2021 19:34:20.915,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:21.173,109.587,109.58500000000001,1,1
13.08.2021 19:34:21.294,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:21.527,109.588,109.584,1,1
13.08.2021 19:34:21.771,109.588,109.58500000000001,2.32,1
13.08.2021 19:34:22.035,109.58600000000001,109.584,1,1
13.08.2021 19:34:25.214,109.587,109.58500000000001,1.5,1
13.08.2021 19:34:25.315,109.587,109.58600000000001,1,1
13.08.2021 19:34:28.326,109.587,109.584,1.5,1.57
13.08.2021 19:34:28.707,109.587,109.58500000000001,1.5,1
13.08.2021 19:34:47.014,109.587,109.584,2.25,1
13.08.2021 19:34:54.325,109.58600000000001,109.584,1,1.12
13.08.2021 19:34:54.427,109.587,109.58500000000001,1.5,1
